Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","356","India","004","Afghanistan","5910","Export quantity","0111","Wheat","2017","2017","t","18975","A","Official value"
"TM","Detailed trade matrix","356","India","004","Afghanistan","5910","Export quantity","0111","Wheat","2018","2018","t","26406","A","Official value"
"TM","Detailed trade matrix","356","India","004","Afghanistan","5910","Export quantity","0111","Wheat","2020","2020","t","55584","A","Official value"
"TM","Detailed trade matrix","356","India","004","Afghanistan","5910","Export quantity","0111","Wheat","2022","2022","t","37242.01","A","Official value"
"TM","Detailed trade matrix","356","India","764","Thailand","5910","Export quantity","0113","Rice","2003","2003","t","21","A","Official value"
"TM","Detailed trade matrix","356","India","764","Thailand","5910","Export quantity","0113","Rice","2005","2005","t","17","A","Official value"
"TM","Detailed trade matrix","356","India","764","Thailand","5910","Export quantity","0113","Rice","2008","2008","t","0","A","Official value"
"TM","Detailed trade matrix","356","India","764","Thailand","5910","Export quantity","0113","Rice","2012","2012","t","0","A","Official value"
"TM","Detailed trade matrix","356","India","764","Thailand","5910","Export quantity","0113","Rice","2017","2017","t","17","A","Official value"
"TM","Detailed trade matrix","356","India","764","Thailand","5910","Export quantity","0111","Wheat","2001","2001","t","4455","A","Official value"
"TM","Detailed trade matrix","356","India","764","Thailand","5910","Export quantity","0111","Wheat","2002","2002","t","5000","A","Official value"
"TM","Detailed trade matrix","356","India","764","Thailand","5910","Export quantity","0111","Wheat","2003","2003","t","24","A","Official value"
"TM","Detailed trade matrix","356","India","764","Thailand","5910","Export quantity","0111","Wheat","2004","2004","t","7","A","Official value"
"TM","Detailed trade matrix","356","India","764","Thailand","5910","Export quantity","0111","Wheat","2005","2005","t","39","A","Official value"
