Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0113","Rice","2024","2024","t","0.01","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0113","Rice","2024","2024","t","0.08","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0111","Wheat","1961","1961","t","400","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0111","Wheat","1961","1961","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0111","Wheat","1962","1962","t","400","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0111","Wheat","1962","1962","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0111","Wheat","1963","1963","t","400","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0111","Wheat","1963","1963","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0111","Wheat","1964","1964","t","9300","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0111","Wheat","1964","1964","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0111","Wheat","1965","1965","t","12461","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0111","Wheat","1965","1965","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0111","Wheat","1966","1966","t","41158","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0111","Wheat","1966","1966","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0111","Wheat","1967","1967","t","40796","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0111","Wheat","1967","1967","t","0","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5610","Import quantity","0111","Wheat","1968","1968","t","40426","A","Official value",""
"TCL","Crops and livestock products","764","Thailand","5910","Export quantity","0111","Wheat","1968","1968","t","0","A","Official value",""
